State,Penalty_Enhancement,PE_race_religion_ethnicity,PE_sexual_orientation,PE_gender,PE_gender_identity,PE_Disability,PE_other,Civil Action,Data_Collection,Police_Training,"Institutional
Vandalism",Cross Burning
Louisiana,LA R.S. 14:107.2 (B)(C) | http://law.justia.com/codes/louisiana/2014/code-revisedstatutes/title-14/rs-14-107.2/,yes,yes,yes,,yes,yes,LA RS 9:2799.2 (1986) | http://law.justia.com/codes/louisiana/2014/code-revisedstatutes/title-9/rs-9-2799.2/,LA R.S. 15:1204.4  (1997) | http://law.justia.com/codes/louisiana/2014/code-revisedstatutes/title-15/rs-15-1204.4/,LA R.S. 40:2403 | http://law.justia.com/codes/louisiana/2014/code-revisedstatutes/title-40/rs-40-2403/,LA R.S. 14:225 | http://law.justia.com/codes/louisiana/2014/code-revisedstatutes/title-14/rs-14-225/,LA R.S. 14:40.4 (2003) | http://law.justia.com/codes/louisiana/2014/code-revisedstatutes/title-14/rs-14-40.4/
Maine,"ME ST T. 17-A § 1151 
(1995) | http://www.mainelegislature.org/legis/statutes/17-A/title17-Asec1151.html",yes,yes,yes,,yes,yes,ME ST T. 5 § 4682 | http://www.mainelegislature.org/legis/statutes/5/title5sec4682.html,ME ST T. 25 § 1544 | http://www.mainelegislature.org/legis/statutes/25/title25sec1544.html,,"ME ST T. 17-A § 507
(1976) | http://www.mainelegislature.org/legis/statutes/17-A/title17-Asec507.html",
Maryland,"MD CRIM LAW § 10-307
 | http://law.justia.com/codes/maryland/2010/criminal-law/title-10/subtitle-3/10-307/; MD CRIM LAW § 10-306
 | http://law.justia.com/codes/maryland/2010/criminal-law/title-10/subtitle-3/10-306/",yes,yes,yes,yes,yes,,,"MD PUBLIC SAFETY § 2-307 | http://law.justia.com/codes/maryland/2005/gps/2-307.html; MD CRIM LAW § 10-304
 | http://law.justia.com/codes/maryland/2010/criminal-law/title-10/subtitle-3/10-304/",,"MD CRIM LAW § 10-302
(2002) | http://law.justia.com/codes/maryland/2010/criminal-law/title-10/subtitle-3/10-302/; MD CRIM LAW § 10-305
(2002) | http://law.justia.com/codes/maryland/2010/criminal-law/title-10/subtitle-3/10-305",
Massachusetts,MA ST 265 § 39 (1997) | http://www.malegislature.gov/Laws/GeneralLaws/PartIII/TitleI/Chapter265/Section39,yes,yes,,yes,yes,,"MA ST 266 § 127B
(1989) | http://www.malegislature.gov/Laws/GeneralLaws/PartIV/TitleI/Chapter266/Section127B",MA ST 22C § 34 (1991) | http://www.malegislature.gov/Laws/GeneralLaws/PartI/TitleII/Chapter22C/Section34; MA ST 22C § 35 (1991) | http://www.malegislature.gov/Laws/GeneralLaws/PartI/TitleII/Chapter22C/Section35,MA ST 6 § 116B  (2002) | http://www.malegislature.gov/Laws/GeneralLaws/PartI/TitleII/Chapter6/Section116B,"MA ST 266 § 98 (1960) | http://www.malegislature.gov/Laws/GeneralLaws/PartIV/TitleI/Chapter266/Section98; MA ST 266 § 127A
(1989) | http://www.malegislature.gov/Laws/GeneralLaws/PartIV/TitleI/Chapter266/Section127A",
Michigan,MI ST 750.147b (1989) | http://law.justia.com/codes/michigan/2010/chapter-750/act-328-of-1931/328-1931-xxi/section-750-147b/,yes,,yes,,,,MI ST 750.147b (1989) | http://law.justia.com/codes/michigan/2010/chapter-750/act-328-of-1931/328-1931-xxi/section-750-147b/,MI ST 28.257a | http://law.justia.com/codes/michigan/2010/chapter-28/act-319-of-1968/section-28-257a/,,MI ST 750.147b (1989) | http://law.justia.com/codes/michigan/2010/chapter-750/act-328-of-1931/328-1931-xxi/section-750-147b/,
Minnesota,MN ST § 609.2231 (1989) | https://www.revisor.mn.gov/statutes/?id=609.2231,yes,yes,yes,yes,yes,yes,MN ST § 611A.79  | https://www.revisor.mn.gov/statutes/?id=611a.79,MN ST 626.5531 | https://www.revisor.leg.state.mn.us/statutes/?id=626.5531,MN ST § 626.8451 | https://www.revisor.mn.gov/statutes/?id=626.8451,MN ST § 609.595 | https://www.revisor.mn.gov/statutes/?id=609.595,
Mississippi,"MS ST § 99-19-301
(1994) | http://law.justia.com/codes/mississippi/2010/title-99/19/99-19-301",yes,,yes,,,,,,,MS ST § 97-17-39 (1993) | http://law.justia.com/codes/mississippi/2013/title-97/chapter-17/in-general/section-97-17-39,
Missouri,MO ST 557.035 (1999) | http://law.justia.com/codes/missouri/2014/title-xxxviii/chapter-557/section-557.035,yes,yes,yes,yes,yes,,MO ST 537.523.1 (1988) | http://www.moga.mo.gov/mostatutes/stathtml/53700005231.html,,,MO ST 574.085 | http://www.moga.mo.gov/mostatutes/stathtml/57400000851.HTML,MO ST 565.095 (2004) | http://law.justia.com/codes/missouri/2013/title-xxxviii/chapter-565/section-565.095/
Montana,MT ST 45-5-222  (1982) | http://codes.lp.findlaw.com/mtcode/45/5/2/45-5-222,yes,,,,,,,,,MT ST 45-5-221 (1989) | http://leg.mt.gov/bills/mca/45/5/45-5-221.htm,
Nebraska,NE ST §  28-111 | http://nebraskalegislature.gov/laws/statutes.php?statute=28-111,yes,yes,yes,,yes,yes,NE ST §  28-113 (1997) | http://nebraskalegislature.gov/laws/statutes.php?statute=28-113,NE ST §  28-114 | http://nebraskalegislature.gov/laws/statutes.php?statute=28-114,,NE ST §  28-111 | http://nebraskalegislature.gov/laws/statutes.php?statute=28-111,
Nevada,NV ST 193.1675 (1997) | http://www.leg.state.nv.us/nrs/nrs-193.html; NV ST 207.185 (1995) | http://www.leg.state.nv.us/nrs/nrs-207.html,yes,yes,yes,yes,yes,yes,NRS 41.690 | n/a,NRS 179A.175 | n/a,,"NV ST 206.125
 | n/a",
"New 
Hampshire",NH ST § 651:6 (1995) | http://www.gencourt.state.nh.us/rsa/html/LXII/651/651-6.htm,yes,yes,yes,,yes,yes,,,,,
New Jersey,NJ ST 2C:16-1 (2008) | http://law.onecle.com/new-jersey/2c-the-new-jersey-code-of-criminal-justice/16-1.html,yes,yes,yes,yes,yes,,NJ ST 2A:53A-21 (1995) | http://law.onecle.com/new-jersey/2a-administration-of-civil-and-criminal-justice/53a-21.html,NJ ST 52:9DD-9 | http://law.onecle.com/new-jersey/52-state-government-departments-and-officers/9dd-9.html,NJ ST 52:9DD-9 | http://law.onecle.com/new-jersey/52-state-government-departments-and-officers/9dd-9.html,NJ ST 2C:33-9  (1979) | http://law.onecle.com/new-jersey/2c-the-new-jersey-code-of-criminal-justice/33-9.html; NJ ST 2C:33-11 | http://law.onecle.com/new-jersey/2c-the-new-jersey-code-of-criminal-justice/33-11.html,
New Mexico,"NM ST § 31-18B-3
(1978) | http://law.justia.com/newmexico/codes/2009/chapter-31/article-18b/section-31-18b-3/",yes,yes,yes,yes,yes,yes,,NM ST § 31-18B-4 | http://law.justia.com/newmexico/codes/2009/chapter-31/article-18b/section-31-18b-4/,NM ST § 31-18B-5 (2003) | http://law.justia.com/newmexico/codes/2009/chapter-31/article-18b/section-31-18b-5/,NM ST § 30-15-4 | http://law.justia.com/newmexico/codes/2009/chapter-30/article-15/section-30-15-4/,
New York,"NY PEN § 485.05  | http://law.justia.com/codes/new-york/2015/pen/part-4/title-y/article-485/485.05/; NY PEN § 485.10
(2000) | http://law.justia.com/codes/new-york/2015/pen/part-4/title-y/article-485/485.10/",yes,yes,yes,,yes,yes,NY CVR § 79-n | http://public.leginfo.state.ny.us/LAWSSEAF.cgi?QUERYTYPE=LAWS+&QUERYDATA=$$CVR79-N$$@TXCVR079-N+&LIST=LAW+&BROWSER=BROWSER+&TOKEN=15697794+&TARGET=VIEW,NY EXC § 837  (2009) | http://public.leginfo.state.ny.us/LAWSSEAF.cgi?QUERYTYPE=LAWS+&QUERYDATA=$$EXC837$$@TXEXC0837+&LIST=LAW+&BROWSER=EXPLORER+&TOKEN=10559586+&TARGET=VIEW,,NY PEN § 240.31 | http://public.leginfo.state.ny.us/LAWSSEAF.cgi?QUERYTYPE=LAWS+&QUERYDATA=$$PEN240.31$$@TXPEN0240.31+&LIST=LAW+&BROWSER=EXPLORER+&TOKEN=08737711+&TARGET=VIEW,
North Carolina,NC ST § 14-3 (1993) | http://www.ncga.state.nc.us/EnactedLegislation/Statutes/HTML/BySection/Chapter_14/GS_14-3.html; NC ST § 14-401.14 | http://www.ncga.state.nc.us/EnactedLegislation/Statutes/HTML/BySection/Chapter_14/GS_14-401.14.html; NC ST § 99D-1  | http://www.ncga.state.nc.us/EnactedLegislation/Statutes/HTML/BySection/Chapter_99D/GS_99D-1.html,yes,,yes,,,,NC ST § 99D-1  | http://www.ncga.state.nc.us/EnactedLegislation/Statutes/HTML/BySection/Chapter_99D/GS_99D-1.html,,,NC ST § 14-144 (1995) | http://www.ncga.state.nc.us/EnactedLegislation/Statutes/HTML/BySection/Chapter_14/GS_14-144.html; NC ST § 14-62.2 | http://www.ncga.state.nc.us/EnactedLegislation/Statutes/HTML/BySection/Chapter_14/GS_14-62.2.html; NC ST § 14-49 | http://www.ncga.state.nc.us/EnactedLegislation/Statutes/HTML/BySection/Chapter_14/GS_14-49.html,NC ST § 14-12.12  | http://www.ncga.state.nc.us/EnactedLegislation/Statutes/HTML/BySection/Chapter_14/GS_14-12.12.html
North Dakota,ND ST § 12.1-14-04 | http://www.legis.nd.gov/cencode/t12-1c14.pdf,yes,,yes,,,,,,,,
Ohio,OH ST § 2927.12 (1987) | http://codes.ohio.gov/orc/2927.12,yes,,,,,,OH ST § 2307.70 (1990) | http://codes.ohio.gov/orc/2307.70,,,OH ST § 2927.11 (1986) | http://codes.ohio.gov/orc/2927.11,
Oklahoma,OK ST T. 21 § 850 (1992) | http://www.oscn.net/applications/oscn/DeliverDocument.asp?CiteID=69387,yes,,,,yes,,OK ST T. 21 § 850 (1992) | http://www.oscn.net/applications/oscn/DeliverDocument.asp?CiteID=69387,OK ST T. 21 § 850  (1992) | http://www.oscn.net/applications/oscn/DeliverDocument.asp?CiteID=69387,,OK ST T. 21 § 1765 (1921) | http://www.oscn.net/applications/oscn/DeliverDocument.asp?CiteID=70114,OK ST T. 21 § 1174 | http://www.oscn.net/applications/oscn/DeliverDocument.asp?CiteID=436830
Oregon,OR ST § 166.165 | http://www.oregonlaws.org/ors/166.165; OR ST § 166.155 (1989) | http://www.oregonlaws.org/ors/166.155,yes,yes,yes,yes,yes,,OR ST § 30.198 | http://oregon.statelawyers.com/Statutes/Index.cfm/StateID:37/ID:40896,OR ST § 181.550 | http://oregon.statelawyers.com/Statutes/Index.cfm/StateID:37/ID:48264,OR ST § 181.642 | http://oregon.statelawyers.com/Statutes/Index.cfm/StateID:37/ID:48306,OR ST § 166.075 (1971) | http://oregon.statelawyers.com/Statutes/Index.cfm/StateID:37/ID:47464,
Pennsylvania,18 PA ST § 2710 (1982) | http://www.legis.state.pa.us/WU01/LI/LI/CT/HTM/18/00.027.010.000..HTM,yes,,,,,,42 PA ST § 8309 (1997) | http://www.legis.state.pa.us/WU01/LI/LI/CT/HTM/42/00.083.009.000..HTM,317 PA ST § 53.11 | http://www.pacode.com/secure/data/037/chapter53/s53.11.html,,18 PA ST § 5509 | http://www.legis.state.pa.us/WU01/LI/LI/CT/HTM/18/00.055.009.000..HTM; 18 PA ST § 3307 (1994) | http://www.legis.state.pa.us/WU01/LI/LI/CT/HTM/18/00.033.007.000..HTM,
Rhode Island ,RI ST § 12-19-38 (1998) | http://www.rilin.state.ri.us/Statutes/TITLE12/12-19/12-19-38.HTM,yes,yes,yes,,yes,,RI ST § 9-1-35 (1985) | http://www.rilin.state.ri.us/Statutes/TITLE9/9-1/9-1-35.HTM,RI ST § 42-28-46 (1994) | http://www.rilin.state.ri.us/Statutes/TITLE42/42-28/42-28-46.HTM,RI ST § 42-28.2-8.1  (1993) | http://www.rilin.state.ri.us/Statutes/TITLE42/42-28.2/42-28.2-8.1.HTM,RI ST § 11-44-31 (1986) | http://www.rilin.state.ri.us/Statutes/TITLE11/11-44/11-44-31.HTM,
South Carolina,,,,,,,,,,,SC ST § 16-11-535 | http://www.scstatehouse.gov/code/t16c011.php,SC ST § 16-7-120 | http://www.scstatehouse.gov/code/t16c007.php
South Dakota,"SD ST § 22-19B-1
(1993) | http://legis.sd.gov/Statutes/Codified_Laws/DisplayStatute.aspx?Type=Statute&Statute=22-19B-1",yes,,,,,,SD ST § 20-9-32 | http://legis.sd.gov/Statutes/Codified_Laws/DisplayStatute.aspx?Type=Statute&Statute=20-9-32,,,SD ST § 22-19B-2  | http://legis.sd.gov/Statutes/Codified_Laws/DisplayStatute.aspx?Type=Statute&Statute=22-19B-2,SD ST § 22-19B-2  | http://legis.sd.gov/Statutes/Codified_Laws/DisplayStatute.aspx?Type=Statute&Statute=22-19B-2
Tennessee,"TN ST § 40-35-114
(1989) | http://law.justia.com/codes/tennessee/2010/title-40/chapter-35/part-1/40-35-114/",yes,yes,yes,,yes,yes,TN ST § 4-21-701.  | http://law.justia.com/codes/tennessee/2010/title-4/chapter-21/part-7/4-21-701/,,,TN ST § 39-17-311 | http://law.justia.com/codes/tennessee/2010/title-39/chapter-17/part-3/39-17-311/; TN ST § 39-14-301 (1989) | http://law.justia.com/codes/tennessee/2010/title-39/chapter-14/part-3/39-14-301/,
Texas,"TX PENAL § 12.47
(1993) | http://www.statutes.legis.state.tx.us/Docs/PE/htm/PE.12.htm",yes,yes,yes,,yes,yes,TX CRIM PRO Art. 42.037 | http://www.statutes.legis.state.tx.us/Docs/CR/htm/CR.42.htm,TX GOVT § 411.046  (1991) | http://www.statutes.legis.state.tx.us/Docs/GV/htm/GV.411.htm,TX GOVT § 22.111  *5 | n/a,TX PENAL § 28.03 | http://www.statutes.legis.state.tx.us/Docs/PE/htm/PE.28.htm; TX PENAL § 28.08 | http://www.statutes.legis.state.tx.us/Docs/PE/htm/PE.28.htm,
Utah,UT Code § 76-3-203.3 | http://le.utah.gov/xcode/Title76/Chapter3/76-3-S203.html,,,,,,,,UT Code § 53-10-202 | http://le.utah.gov/xcode/Title53/Chapter10/53-10-S202.html,,,
Vermont,VT ST T. 13 § 1455 (1990) | http://www.leg.state.vt.us/statutes/fullsection.cfm?Title=13&Chapter=031&Section=01455,yes,yes,yes,yes,yes,yes,VT ST T. 13 § 1457  | http://legislature.vermont.gov/statutes/section/13/031/01457; VT ST T. 13 § 1466 (1990) | http://legislature.vermont.gov/statutes/section/13/033/01466,,,,VT ST T. 13 § 1456 (1990) | http://www.leg.state.vt.us/statutes/fullsection.cfm?Title=13&Chapter=031&Section=01456
Virginia,VA ST § 18.2-57 | http://leg1.state.va.us/cgi-bin/legp504.exe?000+cod+18.2-57,yes,,,,,,VA ST § 8.01-42.1   | http://leg1.state.va.us/cgi-bin/legp504.exe?000+cod+8.01-42.1,VA ST § 52-8.5 (1988) | http://leg1.state.va.us/cgi-bin/legp504.exe?000+cod+52-8.5,,VA ST § 18.2.127 | http://leg1.state.va.us/cgi-bin/legp504.exe?000+cod+18.2-127; VA ST § 18.2.138 | http://leg1.state.va.us/cgi-bin/legp504.exe?000+cod+18.2-138,VA ST § 18.2-423 | http://leg1.state.va.us/cgi-bin/legp504.exe?000+cod+18.2-423
Washington,WA ST 9A.36.080 (1993) | http://washington.statelawyers.com/Statutes/Index.cfm/StateID:47/ID:9830,yes,yes,yes,yes,yes,,WA ST 9A.36.083 (1993) | http://apps.leg.wa.gov/rcw/default.aspx?cite=9A.36.083,WA ST 36.28A.030 | http://washington.statelawyers.com/Statutes/Index.cfm/StateID:47/ID:24412,WA ST 43.101.290 | http://washington.statelawyers.com/Statutes/Index.cfm/StateID:47/ID:30521,WA ST 9A.36.080 | http://apps.leg.wa.gov/RCW/default.aspx?cite=9a.36.080; WA ST 9.61.160 | http://apps.leg.wa.gov/rcw/default.aspx?cite=9.61.160,WA ST 9A.36.080 (1993) | http://washington.statelawyers.com/Statutes/Index.cfm/StateID:47/ID:9830
West Virginia,WV ST § 61-6-21  (1993) | http://www.legis.state.wv.us/WVCODE/ChapterEntire.cfm?chap=61&art=6&section=21,yes,,yes,,,yes,WV ST § 5-11-20  | http://www.legis.state.wv.us/WVCODE/ChapterEntire.cfm?chap=05&art=11&section=20,,,,
Wisconsin,WI ST 939.645 (1996) | http://docs.legis.wisconsin.gov/statutes/statutes/939/IV/645,yes,yes,,,yes,,WI ST 895.443 | http://docs.legis.wisconsin.gov/statutes/statutes/895/I/443,,,WI ST 943.012 (1996) | http://docs.legis.wisconsin.gov/statutes/statutes/943/I/012,
Wyoming,,,,,,,,,,,,
TOTALS,46,45,31,31,17,32,18,33,30,15,43,19
